"id","image","is_structure","is_confirmed","name","category_id/id","show_period_date_begin","show_period_date_end","structure_capacity","street","city","country_id/id","mobile","phone","website","facebook","instagram","comment"
"festival_55",,1,,"Sensitive Festival","crm_booking.festival_tag",2020-06-27,,"inf1k",,"Cahuzac-sur-Vère","base.fr",,,"https://sensitivefestival.com/","https://www.facebook.com/sensitivefestival/",,
"festival_56",,1,,"Foreztival","crm_booking.festival_tag",2020-07-31,2020-08-02,"sup30k",,"Trelins","base.fr",,,"http://www.foreztival.com","https://www.facebook.com/foreztival",,
"festival_57",,1,,"Festival du Monastier","crm_booking.festival_tag,crm_booking.acoustic_tag",2020-08-07,2020-08-09,"sup5k",,"Le Monastie","base.fr",,,"http://www.festivaldumonastier.fr/",,,
"festival_58",,1,,"Kleg","crm_booking.festival_tag",2020-08-07,2020-08-15,"sup1k",,"Cléguérec","base.fr",,,"http://bfi2.fr/en-arwen/",,,
"festival_59",,1,,"Jazz sous les pommiers","crm_booking.festival_tag,crm_booking.jazz_tag",2020-05-08,2020-05-10,"sup1k",,"Coutances ","base.fr",,,"http://www.jazzsouslespommiers.com/",,,
"festival_60",,1,,"Bout du Monde","crm_booking.festival_tag,crm_booking.acoustic_tag",2020-05-16,2020-05-23,"sup30k",,"Crozon","base.fr",,,"https://www.facebook.com/festivaljslp/","https://www.facebook.com/festivalduboutdumonde/","https://www.instagram.com/festival.jslp/",
"festival_61",,1,,"Bilbao BBK Live","crm_booking.festival_tag",2020-08-01,,"sup100k",,"Bilbao","base.es",,,"https://www.bilbaobbklive.com/es/contacto/","https://www.facebook.com/bilbaobbkliveoficial/",,
"festival_62",,1,,"JAZZ:RE:FOUND","crm_booking.festival_tag,crm_booking.jazz_tag",2020-07-09,,"sup1k",,"Cella Monte","base.it",,,"https://jazzrefound.it/","https://www.facebook.com/Jazzrefound/",,
"festival_63",,1,,"Rio Loco","crm_booking.festival_tag",2020-06-20,,"sup10k",,"Toulouse","base.fr",,,"https://www.rio-loco.org/","https://www.facebook.com/Festival-Rio-Loco-OFFICIEL-74724253550/","https://www.instagram.com/rio_loco/",
"festival_64",,1,,"Art Rock","crm_booking.festival_tag",2020-06-15,,"sup30k",,"Saint-Brieuc","base.fr",,,"https://www.artrock.org/","https://www.facebook.com/FestivalArtRock/",,
"festival_65",,1,,"Chausse Tes Tongs","crm_booking.festival_tag",2020-06-07,,"sup10k",,"Trévou-Tréguignec","base.fr",,,"https://www.festival-chausse-tes-tongs.com","https://www.facebook.com/Chaussetestongs/",,
"festival_66",,1,,"Soleils Bleus","crm_booking.festival_tag",2020-08-08,2020-08-11,"sup5k",,"Saint-Herblain","base.fr",,,"http://www.theatreonyx.fr/programme/festival/soleils-bleus-2019",,,
"festival_67",,1,,"Yzeures’n rock","crm_booking.festival_tag",2020-07-04,2020-07-09,"sup10k",,"Yzeures-sur-Creuse","base.fr",,,"http://yzeuresnrock.com/","https://www.facebook.com/FestivalYzeuresnrock/",,
"festival_68",,1,,"Festival de la Cité","crm_booking.festival_tag",2020-08-02,2020-08-04,"sup30k",,"Lausanne","base.ch",,,"http://festivalcite.ch","https://www.facebook.com/festivaldelacite/",,
"festival_69",,1,,"Windcraft Music Fest","crm_booking.festival_tag",2020-07-09,2020-07-14,"sup1k",,"Katydata","base.cy",,,"http://www.windcraftmusicfest.com/","https://www.facebook.com/windcraftmusicfest/",,
"festival_70",,1,,"Vida Festival","crm_booking.festival_tag",2020-08-08,,"sup30k",,"Barcelona","base.es",,,"http://www.en.vidafestival.com/vida-news","https://www.facebook.com/vidafestival/",,
"festival_71",,1,,"Fêtes Escales de Vénissieux","crm_booking.festival_tag,crm_booking.municipality_tag",2020-07-02,,"sup1k",,"Vénissieux","base.fr",,,"https://www.ville-venissieux.fr/fetesescales","https://www.facebook.com/fetes.escales/",,
"festival_72",,1,,"Regard neuf 3","crm_booking.festival_tag,crm_booking.municipality_tag",2020-07-12,2020-07-14,"inf1k",,"Seine Saint-Denis","base.fr",,,"https://regardneuf3.fr","https://www.facebook.com/Regardneuf3/",,
